Entity,Label,Source_URL
1906,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1919,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1955,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1821,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
the Protectorate of Peru,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
the Peruvian Republic,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
1836,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1839,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
the Peru-Bolivian Confederation,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
1959,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1828,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1811 – 1812,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
the First Republic of Venezuela,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
1813,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
the Second Republic of Venezuela,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
1819 1859,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
the Third Republic of Venezuela,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
the State of Venezuela,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
1859,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1863,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
the Republic of Venezuela,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
the United States,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
1905 – 1930,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1930,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
Southern Cross,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
Guaquil,PERSON,https://en.wikipedia.org/wiki/Flags_of_South_America
Rodolfo Manzo,PERSON,https://en.wikipedia.org/wiki/Flags_of_South_America
5 May 2018,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
Los verdaderos,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
emblemas de la República de Chile,PERSON,https://en.wikipedia.org/wiki/Flags_of_South_America
1810-2010,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
los indígenas,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
asignaban al,PERSON,https://en.wikipedia.org/wiki/Flags_of_South_America
Venus,PERSON,https://en.wikipedia.org/wiki/Flags_of_South_America
9 January 2021,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
21 April 2010,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
2009,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
November 2024,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Description,PERSON,https://en.wikipedia.org/wiki/Flags_of_North_America
1967,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Barbuda,PERSON,https://en.wikipedia.org/wiki/Flags_of_North_America
1973,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
The Bahamas See,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
1966,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
2019,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1965,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Canada,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
150+ years,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1848,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Costa Rica,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1959,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Cuba,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1990,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1863,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the Dominican Republic See,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
El Salvador,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1974,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1986,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1949,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
2022 2026,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Honduras,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1962,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Jamaica See,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
1968,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Mexico See,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
France,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Mexico,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1971,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Nicaragua,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1925,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Panama,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1983,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
2002,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Saint Lucia,PERSON,https://en.wikipedia.org/wiki/Flags_of_North_America
1985,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Grenadines,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
Trinidad,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Tobago,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
1960,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the United States See,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
the United States,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
U.S.,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1999,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Anguilla,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
United Kingdom,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1976,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Aruba,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Netherlands,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Bermuda,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1981,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the Cayman Islands,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1984,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1989,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Greenland,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Denmark,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1794,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
2023,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Montserrat,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
1952,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Puerto Rico,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
United States,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Saint Barthélemy,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Saint Martin,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1982,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
2004,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Sint Eustatius,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
Virgin Islands,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Guatemala City,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Guatemala,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Mexico City,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
San Salvador,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Tegucigalpa,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Alberta,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
British Columbia,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Manitoba,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
New Brunswick,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Newfoundland,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Labrador,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Northwest Territories,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Nova Scotia,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Nunavut,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
Ontario,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Prince Edward Island,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Quebec,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Saskatchewan,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Yukon,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
the Republic of Anguilla,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1969,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1956,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1869,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Bahamas,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1923,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1953,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1964,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1853,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1854,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the Republic of Baja,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1910,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the British Leeward Islands,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
1886,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1903,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1958,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the Republic of Canada,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1868 – 1921,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1957,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1861,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the Confederate States of America,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
1865,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1902,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1906 1909,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1955,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1965 – 1978,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1978,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1988,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1865 – 1869,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1877,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1843,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1858,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1849,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1859,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1839,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1866,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
2026,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Jamaica,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1906,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the Republic of Madawaska,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
the First Mexican Empire,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
1823,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1867,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the Second Mexican Empire,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
1916,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1824,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1860,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
Miskito Kingdom,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1909,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
2010,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1895,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1898,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1995,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1840,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the Republic of the Rio Grande,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1979,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1907,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1907 – 1979,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the Republic of Sonora,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1821,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1822,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the Republic of Spanish,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Haiti,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1836,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the Republic of Texas,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
1845,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1889,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1896,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
1908,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the Republic of West Florida,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
the West Indies Federation,ORG,https://en.wikipedia.org/wiki/Flags_of_North_America
1841,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
the Republic of Yucatán,GPE,https://en.wikipedia.org/wiki/Flags_of_North_America
Antiguan,PERSON,https://en.wikipedia.org/wiki/Flags_of_North_America
Complete Flags,PERSON,https://en.wikipedia.org/wiki/Flags_of_North_America
2009,DATE,https://en.wikipedia.org/wiki/Flags_of_North_America
March 2025,DATE,https://en.wikipedia.org/wiki/Flags_of_Asia
the United Nations,ORG,https://en.wikipedia.org/wiki/Flags_of_Asia
Description,PERSON,https://en.wikipedia.org/wiki/Flags_of_Asia
the Arab League,ORG,https://en.wikipedia.org/wiki/Flags_of_Asia
the League of Arab States,ORG,https://en.wikipedia.org/wiki/Flags_of_Asia
The Arab League,ORG,https://en.wikipedia.org/wiki/Flags_of_Asia
1997,DATE,https://en.wikipedia.org/wiki/Flags_of_Asia
the Association of Southeast Asian Nations,ORG,https://en.wikipedia.org/wiki/Flags_of_Asia
The Association of Southeast Asian Nations,ORG,https://en.wikipedia.org/wiki/Flags_of_Asia
ASEAN,ORG,https://en.wikipedia.org/wiki/Flags_of_Asia
